Date,Open,High,Low,Close,Volume
2021-01-04 01:05:00,1909.07,1909.33,1907.73,1908.77,810
2021-01-04 01:10:00,1908.67,1909.47,1907.72,1908.88,391
2021-01-04 01:15:00,1908.84,1909.94,1907.88,1909.54,246
2021-01-04 01:20:00,1909.54,1910.69,1909.1,1909.15,261
2021-01-04 01:25:00,1909.2,1911.33,1909.2,1910.86,213
2021-01-04 01:30:00,1910.71,1914.81,1910.29,1914.56,602
2021-01-04 01:35:00,1914.61,1914.93,1913.26,1914.17,362
2021-01-04 01:40:00,1914.17,1914.86,1914.0,1914.15,273
2021-01-04 01:45:00,1914.16,1914.38,1913.34,1913.34,250
2021-01-04 01:50:00,1913.34,1913.64,1912.41,1912.41,196
2021-01-04 01:55:00,1912.41,1913.72,1909.51,1913.1,626
2021-01-04 02:00:00,1913.04,1913.49,1911.46,1911.5,435
2021-01-04 02:05:00,1911.49,1912.02,1910.93,1911.23,262
2021-01-04 02:10:00,1911.23,1911.29,1910.3,1910.35,391
2021-01-04 02:15:00,1910.35,1910.78,1909.9,1910.04,268
2021-01-04 02:20:00,1910.06,1910.93,1910.0,1910.71,156
2021-01-04 02:25:00,1910.71,1911.2,1910.26,1911.0,124
2021-01-04 02:30:00,1911.01,1911.98,1910.73,1911.78,150
2021-01-04 02:35:00,1911.83,1912.31,1910.34,1911.43,219
2021-01-04 02:40:00,1911.43,1912.15,1910.95,1911.64,126
2021-01-04 02:45:00,1911.64,1912.03,1911.34,1911.77,115
2021-01-04 02:50:00,1911.82,1912.81,1911.37,1912.71,199
2021-01-04 02:55:00,1912.71,1913.64,1911.52,1913.41,249
2021-01-04 03:00:00,1913.41,1915.44,1912.16,1914.35,966
2021-01-04 03:05:00,1914.32,1917.0,1914.32,1916.58,907
2021-01-04 03:10:00,1916.58,1916.9,1915.76,1916.42,548
2021-01-04 03:15:00,1916.42,1916.61,1913.91,1914.06,464
2021-01-04 03:20:00,1914.06,1915.05,1913.97,1914.31,443
2021-01-04 03:25:00,1914.31,1915.27,1914.31,1914.89,361
2021-01-04 03:30:00,1914.93,1915.35,1913.27,1913.5,590
2021-01-04 03:35:00,1913.51,1915.36,1913.51,1915.3,400
2021-01-04 03:40:00,1915.29,1918.09,1915.13,1917.02,597
2021-01-04 03:45:00,1917.06,1918.29,1915.21,1917.39,549
2021-01-04 03:50:00,1917.49,1918.71,1917.15,1917.41,411
2021-01-04 03:55:00,1917.46,1917.76,1916.61,1916.61,284
2021-01-04 04:00:00,1916.6,1917.02,1915.49,1915.58,398
2021-01-04 04:05:00,1915.63,1917.67,1915.59,1917.64,430
2021-01-04 04:10:00,1917.64,1918.93,1917.41,1918.64,420
2021-01-04 04:15:00,1918.64,1919.18,1918.23,1918.8,285
2021-01-04 04:20:00,1918.8,1918.82,1918.2,1918.43,221
2021-01-04 04:25:00,1918.43,1918.79,1918.16,1918.4,136
2021-01-04 04:30:00,1918.45,1919.02,1918.3,1918.57,304
2021-01-04 04:35:00,1918.57,1918.87,1918.1,1918.27,301
2021-01-04 04:40:00,1918.27,1919.18,1918.1,1919.18,324
2021-01-04 04:45:00,1919.18,1919.98,1919.12,1919.93,423
2021-01-04 04:50:00,1919.93,1920.72,1919.79,1920.7,340
2021-01-04 04:55:00,1920.7,1921.89,1920.7,1921.79,362
2021-01-04 05:00:00,1921.79,1922.16,1921.62,1921.92,241
2021-01-04 05:05:00,1921.92,1921.92,1920.82,1920.97,291
2021-01-04 05:10:00,1920.99,1921.51,1920.98,1921.46,259
2021-01-04 05:15:00,1921.43,1922.48,1921.43,1922.37,287
2021-01-04 05:20:00,1922.37,1922.98,1922.26,1922.69,312
2021-01-04 05:25:00,1922.69,1923.6,1922.58,1923.23,207
2021-01-04 05:30:00,1923.23,1923.42,1922.93,1923.19,220
2021-01-04 05:35:00,1923.19,1924.65,1923.11,1924.57,320
2021-01-04 05:40:00,1924.57,1925.26,1923.95,1924.29,326
2021-01-04 05:45:00,1924.24,1924.33,1922.44,1922.66,265
2021-01-04 05:50:00,1922.66,1923.06,1921.79,1922.37,345
2021-01-04 05:55:00,1922.36,1923.19,1922.21,1923.19,220
2021-01-04 06:00:00,1923.2,1923.71,1923.08,1923.19,237
2021-01-04 06:05:00,1923.19,1923.43,1922.09,1923.29,245
2021-01-04 06:10:00,1923.26,1923.57,1922.7,1923.23,166
2021-01-04 06:15:00,1923.23,1923.23,1922.66,1922.98,108
2021-01-04 06:20:00,1923.01,1923.12,1921.27,1921.37,263
2021-01-04 06:25:00,1921.34,1922.1,1921.19,1922.05,164
2021-01-04 06:30:00,1922.1,1922.25,1921.12,1921.54,195
2021-01-04 06:35:00,1921.45,1922.04,1921.44,1921.62,160
2021-01-04 06:40:00,1921.62,1923.0,1920.24,1922.86,280
2021-01-04 06:45:00,1922.86,1922.98,1922.34,1922.69,184
2021-01-04 06:50:00,1922.69,1922.85,1922.49,1922.78,50
2021-01-04 06:55:00,1922.78,1923.06,1922.56,1922.67,94
2021-01-04 07:00:00,1922.66,1922.99,1922.5,1922.86,118
2021-01-04 07:05:00,1922.9,1922.95,1922.72,1922.81,105
2021-01-04 07:10:00,1922.81,1922.83,1922.01,1922.04,156
2021-01-04 07:15:00,1922.04,1922.04,1920.07,1920.07,192
2021-01-04 07:20:00,1920.06,1920.35,1918.95,1919.73,382
2021-01-04 07:25:00,1919.73,1920.66,1919.56,1920.66,167
2021-01-04 07:30:00,1920.66,1921.97,1920.55,1921.58,520
2021-01-04 07:35:00,1921.56,1921.66,1920.67,1920.92,243
2021-01-04 07:40:00,1920.93,1921.0,1919.17,1919.38,248
2021-01-04 07:45:00,1919.41,1920.27,1918.93,1920.22,313
2021-01-04 07:50:00,1920.18,1920.4,1919.13,1919.84,331
2021-01-04 07:55:00,1919.84,1921.81,1919.81,1921.66,366
2021-01-04 08:00:00,1921.66,1922.8,1921.56,1922.38,395
2021-01-04 08:05:00,1922.4,1923.67,1921.47,1923.49,323
2021-01-04 08:10:00,1923.59,1923.94,1922.64,1922.8,359
2021-01-04 08:15:00,1922.81,1923.95,1922.69,1923.94,311
2021-01-04 08:20:00,1923.94,1925.6,1923.79,1925.46,543
2021-01-04 08:25:00,1925.51,1925.51,1924.3,1924.36,373
2021-01-04 08:30:00,1924.36,1925.01,1924.3,1924.56,228
2021-01-04 08:35:00,1924.59,1925.18,1924.45,1924.76,255
2021-01-04 08:40:00,1924.71,1924.93,1922.97,1923.19,299
2021-01-04 08:45:00,1923.14,1923.99,1922.89,1923.67,313
2021-01-04 08:50:00,1923.67,1923.91,1922.91,1923.45,195
2021-01-04 08:55:00,1923.45,1923.61,1922.77,1922.99,158
